country,latitude,longitude,name
AF,33.93911,67.709953,Afghanistan
AU,-25.274398,133.775136,Australia
GB,55.378051,-3.435973,United Kingdom
NZ,-40.900557,174.885971,New Zealand
CN,35.86166,104.195397,China
IT,41.87194,12.56738,Italy
VN,14.058324,108.277199,Vietnam
IQ,33.223191,43.679291,Iraq
GR,39.074208,21.824312,Greece
IN,20.593684,78.96288,India
LB,33.854721,35.862285,Lebanon
PH,12.879721,121.774017,Philippines
DE,51.165691,10.451526,Germany
AF,33.93911,67.709953,Afghanistan
NL,52.132633,5.291266,Netherlands
ZA,-30.559482,22.937506,South Africa
MY,4.210484,101.975766,Malaysia
MT,35.937496,14.375416,Malta
LK,7.873054,80.771797,Sri Lanka
SY,34.802075,38.996815,Syria
IR,32.427908,53.688046,Iran
TR,38.963745,35.243322,Turkey
HR,45.1,15.2,Croatia
FJ,-16.578193,179.414413,Fiji
PK,30.375321,69.345116,Pakistan
