Country of Birth,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Rent Assistance,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,JobSeeker Payment,Low Income Card,Parenting Payment Partnered,Parenting Payment Single,Pension Concession Card,Special Benefit,Youth Allowance (other),Youth Allowance (student and apprentice),population
Australia,7370,18845,1569840,15520,438920,6065,199155,925075,360305,629815,852705,689900,926440,596905,116935,32490,257085,2981685,755,77990,94590,26638544.00 
United Kingdom,10,5,256795,590,27890,195,10695,61395,43910,28655,26835,20400,29265,24285,6850,510,4750,314525,50,400,1645,68350000.00 
New Zealand,10,5,72070,305,9805,105,4830,43090,7345,14925,42060,34050,28065,15365,3475,690,5525,89735,15,255,750,5223100.00 
China,0,0,40150,445,9320,90,4660,14970,12735,4080,38280,25425,27465,12415,5455,1235,2470,59045,805,95,2285,1410710000.00 
Italy,5,0,74360,35,8260,5,2155,4525,14530,3320,1550,1150,2645,1735,1375,45,165,72755,10,15,90,58761146.00 
Vietnam,0,0,24705,200,11705,170,7930,14090,1540,8705,24280,17840,17665,16230,2525,985,4010,56830,325,100,790,99660133.00 
Iraq,0,0,9045,190,16830,100,16230,20840,155,8845,17415,13560,16395,12710,555,2880,1880,42920,230,965,1665,45504560.00 
Greece,5,0,58465,20,7420,5,1805,3610,6750,3100,970,715,1755,1455,785,35,135,52590,10,30,115,10361295.00 
India,0,0,17485,180,6495,150,1470,10820,4820,2345,38490,24790,20650,4875,1910,1895,1435,24430,240,120,1700,1428627663.00 
Lebanon,0,0,19225,55,10550,105,8065,9340,1065,7985,9500,7305,7900,7080,605,1110,1380,41270,210,110,350,5353930.00 
Philippines,5,5,21995,255,7810,130,3570,12475,1810,3300,16885,11835,12575,6765,1420,630,2155,33785,190,220,1305,117337368.00 
Germany,5,5,33980,40,2795,20,930,5740,6000,2205,2605,1975,2395,1650,610,80,445,37625,15,25,145,84482267.00 
Afghanistan,0,0,2730,180,3910,40,3305,10670,45,3385,15145,12215,18340,10650,635,3220,1335,14755,390,905,1490,42239854.00 
Netherlands,0,5,29730,20,2025,5,705,4235,4390,1345,1010,735,1225,755,420,15,140,30315,5,5,80,17879488.00 
Yugoslavia,0,0,24255,15,4020,5,1685,3315,1355,4225,890,620,995,1515,260,20,100,29565,0,0,5,23000000.00 
South Africa,5,0,13770,215,2595,40,780,6665,3705,2145,6190,4680,5640,3170,675,155,1030,19075,50,105,655,60414495.00 
Malaysia,0,0,12460,100,2200,25,715,3305,5345,1455,4195,2805,4555,2260,940,135,355,16290,50,45,735,34308525.00 
Malta,0,0,21300,5,2505,5,800,1565,3565,1375,315,230,815,460,570,5,40,20385,5,5,5,553214.00 
Sri Lanka,5,0,11705,65,2210,40,715,4650,2315,1395,6360,4175,5315,2480,830,325,390,15430,180,45,750,22037000.00 
Syria,0,0,3240,60,4630,30,4465,7015,100,1895,4695,3630,6080,4890,225,990,435,12560,40,470,820,22130000.00 
Iran,0,0,4590,185,2565,30,1795,6655,420,2445,5745,4735,6375,4460,450,550,1075,11990,255,280,775,90102637.00 
Turkey,0,0,8160,50,3450,15,2335,3440,280,4545,2900,2200,2665,2710,250,180,405,15430,35,35,120,84980000.00 
Croatia,0,0,16420,10,2390,5,850,1535,1535,1730,870,600,835,845,250,30,130,17565,5,5,10,3853200.00 
Fiji,0,5,7980,45,2155,20,1105,4690,885,2015,4040,3095,3125,2595,390,150,675,13200,75,35,110,936375.00 
Pakistan,5,5,1830,85,2080,50,990,5570,260,845,10970,8550,9300,2990,520,1415,545,5380,125,205,1065,240485658
Other,90,345,226705,1960,52175,650,25255,105730,34090,42715,132610,99570,112770,65465,11385,7915,21275,330955,2515,3040,9795,
Total,7485,19210,2582990,20820,646720,8080,306985,1295005,519260,788785,1267510,996785,1271240,806715,160290,57685,309370,4360090,6565,85505,121850,
